configuracion,idx_original,clase_objetivo,es_semilla_valida,k,radio_percentil_distancias,umbral_densidad,radio_percentil_riesgos,umbral_entropia,umbral_riesgo,entropia,criterio_pureza,proporcion_min,proporcion_min_valor,densidad,densidad_valor,riesgo,riesgo_valor,pasa_pureza,pasa_densidad,pasa_riesgo,vecinos_validos_por_percentil,synthetics_from_this_seed,cant_vecinos_en_p_elegido,cant_min_en_p_elegido
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,14909,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,6/7,0.8571428571428571,0/7,0.0,True,True,True,6,1061,6,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,57677,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1083,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,39478,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,1047,4,4
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,22470,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,2/7,0.2857142857142857,0/7,0.0,True,True,True,2,1079,2,2
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,14919,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,5/7,0.7142857142857143,0/7,0.0,True,True,True,5,1062,5,5
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,14747,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,5/7,0.7142857142857143,0/7,0.0,True,True,True,5,1019,5,5
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,12999,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1037,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,28765,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,6/7,0.8571428571428571,0/7,0.0,True,True,True,6,1047,6,5
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,34312,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,7/7,1.0,0/7,0.0,True,True,True,7,1049,7,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,17614,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,1069,4,4
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,54445,2,False,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,1/7,0.14285714285714285,0/7,0.0,True,False,True,1,0,1,1
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,26756,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,6/7,0.8571428571428571,0/7,0.0,True,True,True,6,1021,6,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,21991,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,6/7,0.8571428571428571,7/7,1.0,0/7,0.0,True,True,True,7,1114,7,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,37886,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,6/7,0.8571428571428571,0/7,0.0,True,True,True,6,1070,6,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,51029,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1070,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,54031,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1091,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,48300,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,1046,4,4
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,4146,2,False,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,0/7,0.0,0/7,0.0,True,False,True,0,0,0,0
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,13552,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,6/7,0.8571428571428571,0/7,0.0,True,True,True,6,1053,6,6
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,0,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1065,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,42007,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,7/7,1.0,0/7,0.0,True,True,True,7,1059,7,7
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,8455,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,1069,4,4
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,46297,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,4/7,0.5714285714285714,0/7,0.0,True,True,True,4,1073,4,4
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,20058,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,3/7,0.42857142857142855,0/7,0.0,True,True,True,3,1086,3,3
PRD70_PR30_CPprop_UD025_UR030_Upp040_I1,40673,2,True,7,5.037044031580973,0.25,1.5078414943528649,,0.3,,proporcion,7/7,1.0,2/7,0.2857142857142857,0/7,0.0,True,True,True,2,1103,2,2
