feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,target
1.7500001,-0.7894736,0.55,-0.0666668,-0.14285713,0.07142858,-0.076923236,0.5384616,0.81818175,0.5306123,1.0,0.0,-0.37931034,-0.6923078,-0.4761905,0.08000004,0.5957448,0.8333333,0.8372093,-0.34615391,-0.27272728,-0.2857143,-0.25,-0.26666674,-0.3333333,-0.52631575,-0.31818178,1.7500001,0.45454544,0.0784313,0.24137929,-0.15384611,0.48148146,-0.43999994,-0.48148155,0.76190484,-0.18518524,-0.17391299,0.6538462,1.1578948,0.38461548,0.5185185,-0.625,-0.9824562,-0.8620691,-0.8124998,-1.1666665,0.088888794,0.0,2.5,1.2173913,0.5,-0.3396226,-0.3571429,-0.25925925,-0.3928572,-0.050000027,0.0,0.047619037,0.0,-0.2500001,0.25000003,-0.06249994,-0.35714284,-0.8095237,-0.73684204,-0.50000006,-0.80769235,-0.29411763,-0.04999995,0.0,1.6666665,-0.43478242,-0.95652163,1.2857141,0.7777778,-1.6249999,0.6111111,0.27272728,0.0,-0.032786902,-0.10000001,-0.1875,-0.18750001,-0.26315787,-0.15625004,0.5238095,0.15384613,0.65384626,18.000002,0.02,0.1304348,0.7,-0.04166687,-0.16000009,0.43478268,-0.19999999,1.8888887,1.3125,0.49,-1
0.0,-0.84210515,0.0,-1.0333333,6.5714283,1.5000001,-0.6923078,0.07692299,-0.18181798,-0.20408155,0.14285713,0.0,0.6896551,0.423077,-0.14285715,0.5200001,-0.80851066,-0.36666662,-1.023256,1.1153846,1.8636365,2.0952382,2.5500002,0.73333335,1.0952381,1.1578946,1.1363637,-0.24999999,-0.36363634,-0.5490197,-0.8275863,1.8846154,-0.8148148,0.55999994,-0.66666675,1.7142859,-1.1481482,2.217391,0.11538464,0.94736844,0.423077,0.29629627,-0.18750001,-0.03508769,0.17241386,0.53124994,-0.33333346,-0.93333316,-0.50000006,-0.5,-0.2608696,1.5,0.037735924,0.035714254,0.14814824,0.14285712,2.05,2.0487807,2.2380953,2.3999999,-2.1000001,1.8333333,0.25000006,-0.07142861,-0.71428573,0.2631578,-0.8636364,-0.65384626,0.8823529,1.1,-1.0,-0.16666666,0.30434778,-1.0869564,0.09523807,-0.51851845,-0.8437499,-0.44444448,-0.6363637,2.451613,2.6885247,2.7333336,1.09375,0.9375,0.78947365,0.87500006,-0.047619008,0.49999988,-1.0,0.0,0.0,2.478261,-0.70000005,-0.20833334,0.24000001,-0.26086956,-0.59999996,2.2777777,0.1875,0.0,-1
0.0,1.6842103,0.15000002,-0.0666668,0.21428572,0.85714287,-0.076923236,0.30769217,-0.90909076,-1.7142855,-0.4285714,-1.0,0.6551724,1.5769233,-0.71428573,-0.31999993,-1.8723406,-0.73333335,-1.8139536,0.42307687,0.0,-0.047619004,0.15000002,0.26666662,-0.28571424,0.052631684,-0.090909004,-0.24999999,-0.5454545,-0.7450981,-0.72413796,0.115384616,-0.25925922,1.56,0.3703704,-1.1904763,-0.25925922,-0.08695656,-0.5384617,-1.0526315,-0.5384615,-0.55555564,1.8125,0.91228074,0.8620691,0.56249994,0.9999999,1.111111,0.9090909,-0.5,-0.47826087,0.0,-0.49056602,-0.39285716,0.0,-0.10714286,-0.15000002,-0.04878048,0.095238075,0.04999999,-0.15000017,0.33333334,0.5625001,1.0714285,1.9047617,1.4736842,2.6363635,0.576923,0.58823526,-2.1999998,0.0,-0.16666666,0.1304349,0.8260869,-0.57142854,-0.074074,1.0312501,-0.27777782,-0.6363637,-0.064516164,-0.16393447,-0.20000005,0.81249994,0.53125,0.31578946,0.8437501,-0.38095233,0.42307687,0.38461536,0.0,0.0,0.08695657,-0.56666666,-0.6666667,-1.48,-0.7826087,-0.19999999,-0.055555586,-0.24999999,0.0,-1
0.24999999,-0.47368416,0.74999994,-0.0666668,-0.49999997,-0.21428572,-0.076923236,-0.1538462,0.090909265,0.489796,-0.4285714,-1.0,-0.7586207,-1.1923077,-0.42857143,-0.7199999,0.9361703,1.8333334,0.60465133,-0.80769235,-0.7272727,-0.80952376,-0.35,0.0,-0.3809524,-0.368421,-0.22727264,0.99999994,1.3636364,0.4313725,1.0689656,-0.6923077,2.1851854,-1.16,0.888889,0.14285716,1.5555556,-0.5652173,1.0769233,-0.21052627,0.923077,1.037037,-0.12500007,-1.0877193,-0.8965518,-1.3749998,-0.49999994,-0.22222212,-0.6363637,0.5,0.6521739,-0.5,0.0,-0.46428576,-0.8148148,-0.4642857,-0.35000002,-0.34146342,-0.38095242,-0.4,0.5000002,-0.3333333,0.43750006,0.21428572,-0.3809523,-0.68421054,0.13636364,-0.423077,-0.058823515,0.59999996,-1.0,0.33333334,-0.43478242,-0.39130434,0.85714275,1.1851852,-1.4999999,1.3611112,0.9090909,-0.48387098,-0.5245902,-0.50000006,-0.74999994,-0.6250001,-0.6578947,-0.68750006,0.7142858,-1.0769231,0.0,0.0,0.0,-0.47826087,1.0666667,0.12499986,0.79999995,0.8260869,-0.19999999,0.22222218,0.0,0.0,-1
0.24999999,0.473684,1.4,-0.5666667,0.42857143,0.14285715,-0.5384615,-0.5384614,-0.5454544,0.08163269,0.14285713,-0.120000005,1.1034483,0.57692325,0.14285707,0.8000001,-0.08510643,-0.5333333,0.1860465,1.076923,0.8636364,0.9047619,0.9000001,0.06666671,0.42857146,0.26315793,0.6818182,-0.24999999,-0.57575756,-0.15686278,-0.20689657,0.53846145,-0.25925922,0.55999994,0.33333337,-0.28571433,-0.33333334,0.7826085,-0.42307705,0.15789475,-0.5,-0.4814815,0.24999996,0.56140363,0.48275864,0.53124994,0.5833332,-0.044444397,0.59090906,0.0,-0.2608696,0.5,-0.52830184,-0.5357143,-0.3703704,-0.14285722,0.04999999,0.14634147,0.2857143,0.49999997,-0.30000004,0.08333334,0.0,0.14285712,0.47619057,0.47368422,-0.09090914,0.9615385,-0.41176468,-0.9999999,0.0,-0.16666666,0.43478268,0.99999976,-0.6666666,-0.037037,-0.062499937,-0.44444448,-0.8636364,0.83870965,0.81967217,0.73333335,0.87500006,0.99999994,0.7631579,0.96875,-0.38095233,0.49999988,0.0,13.0,0.0,0.65217394,-0.29999992,0.33333322,0.55999994,0.0,0.79999995,-0.5,0.625,0.0,-1
0.24999999,-0.5789472,-0.14999999,0.3333332,0.071428604,-0.071428575,-0.6923078,0.30769217,0.0,-0.4489795,0.2857143,0.0,0.55172414,0.7307693,1.9047617,0.96000016,-0.76595753,-0.5666666,-0.7441861,0.7692306,1.1363636,1.0952382,0.35000014,0.26666662,0.61904764,0.52631587,0.18181814,-0.24999999,-0.5151515,-0.90196085,-1.0344828,1.4230769,-0.7407407,0.96000004,-0.81481487,0.38095248,-1.037037,1.3478259,-0.3076924,-0.2631578,-0.26923075,-0.25925925,-0.43749997,0.6666667,0.7586209,0.5937499,0.54166657,0.5333333,0.54545456,-0.5,-0.6086957,-0.5,-0.5660377,-0.46428576,0.4444445,0.17857136,-0.35000002,-0.29268292,-0.19047621,-0.25000003,0.35,-0.3333333,-0.625,-0.71428573,-0.42857143,0.052631687,-1.0,0.26923075,-0.4705882,-0.04999995,0.0,0.16666666,0.17391312,-0.043478217,0.33333328,-0.92592585,0.78124994,-0.38888896,-0.36363637,0.032258034,0.032786854,0.09999996,0.43750003,0.24999997,0.15789473,0.21875,-0.952381,-0.423077,0.0,0.0,0.0,-0.3478261,0.100000106,-1.1666666,-0.96000004,-1.0869564,0.20000003,-0.11111109,0.12500001,0.0,-1
1.25,-0.5263157,0.34999996,0.16666651,-0.4285714,-0.21428572,0.23076925,0.0,0.27272725,0.28571436,0.7142857,0.0,-0.51724136,-0.5384615,0.80952376,-0.4799999,0.38297877,0.4,0.1395349,-0.46153852,-0.40909094,-0.47619045,-0.44999996,-0.40000004,-0.57142854,-1.368421,-0.6818181,1.7500001,0.78787875,0.6666666,0.44827586,-0.3076923,0.7037037,-0.43999994,0.14814813,0.09523816,0.51851845,-0.30434778,0.6153847,-0.2631578,0.576923,0.62962973,-0.43749997,-0.42105266,-0.3448275,-0.37499994,-0.20833334,0.4444445,0.045454502,1.0,0.2173913,-0.5,1.1698115,0.35714287,-0.111111015,-0.3214286,-0.35000002,-0.34146342,-0.38095242,-0.4,0.6000001,-0.3333333,-0.43749997,-0.50000006,-0.47619042,-0.47368422,-0.31818178,-0.076923005,0.0,0.0,0.0,0.6666666,0.0,-0.17391312,-0.19047618,0.22222222,0.0,1.0277778,-0.54545456,-0.35483873,-0.39344266,-0.3666667,-0.6875,-0.6250001,-0.6578947,-0.71875006,-0.19047616,-1.346154,-0.423077,2.0,0.0,-0.5217391,0.76666677,0.0,0.52,0.34782597,0.0,0.72222227,-0.375,0.0,-1
0.24999999,-0.36842096,1.7,-0.5666667,-0.3571428,-0.21428572,-0.076923236,0.0,0.4545455,0.5306123,0.14285713,0.0,-0.3103448,-0.19230774,-0.2857143,-0.4799999,0.38297877,0.3,-0.1395349,-0.23076923,-0.13636364,0.0,-0.35,0.0,0.0,-0.10526313,-0.8181818,0.24999999,0.21212123,0.7843137,0.79310334,-0.34615386,-0.37037036,0.03999996,1.0,-0.76190484,1.2962964,-0.5652173,0.5384617,-0.10526306,0.076923005,0.25925925,-0.56250006,-0.49122804,-0.62068963,-0.49999982,0.04166662,0.5777777,0.8636364,1.0,1.0869565,-0.5,0.6415095,1.2142857,0.7407408,0.49999994,-0.25000003,-0.14634146,-0.23809527,-0.25000003,0.5000002,-0.24999999,-0.24999996,-0.28571433,-0.33333328,-0.5789473,0.045454502,-0.115384735,0.23529415,0.34999993,-1.0,0.16666666,-0.17391287,-0.08695669,0.61904764,0.62962955,-0.37499988,0.3611111,-0.31818184,-0.2903226,-0.2622951,-0.16666672,-0.49999997,-0.3750001,-0.3947368,-0.31250006,-0.85714287,-0.30769238,0.19230764,1.0,0.01,-0.4347826,0.49999994,0.2083331,0.15999985,-0.043478217,0.39999998,-0.3888889,-0.43749997,0.0,-1
-0.24999999,-0.31578943,0.29999998,0.1333332,-0.3571428,-0.21428572,0.0,-0.4615384,-0.27272725,0.69387746,-0.4285714,-1.0,-0.62068963,-0.9615385,0.6666666,-0.27999997,0.9787234,0.93333346,0.37209314,-0.61538464,-0.6363636,-0.7619048,-0.5,-0.40000004,-0.047619004,-0.99999994,-0.40909094,0.24999999,0.81818175,0.6666666,0.6551724,-0.38461542,1.1481482,-0.7199999,0.70370376,0.19047616,0.9259259,-0.39130434,0.3076924,-0.5789473,-0.038461503,0.111111015,-0.12500007,-0.03508769,-0.06896546,-0.18749997,0.37499982,0.4000001,0.045454502,0.0,0.1304348,-0.5,2.2264152,1.1071428,0.5185185,0.0714285,-0.2,-0.24390243,-0.33333337,-0.35000002,0.5000002,-0.3333333,0.06250004,0.0,-0.33333328,-0.42105255,-0.22727278,0.26923075,0.0,0.50000006,-1.0,0.16666666,-0.8260869,0.26086956,0.9523809,1.4074074,-0.8437499,0.6666666,1.6818182,-0.5483871,-0.5245902,-0.46666676,-0.84374994,-0.78125006,-0.78947365,-0.8437501,-0.8095238,-1.7692308,-0.3461539,0.0,0.0,-0.47826087,0.49999994,0.08333324,0.119999886,0.21739134,-0.19999999,-0.22222225,-0.24999999,0.0,-1
-0.49999997,0.15789472,-0.2,0.4333333,-0.3571428,-0.21428572,1.6923077,0.0,1.8181818,1.1020408,-0.14285713,-0.04000002,0.34482756,-0.42307687,0.23809521,1.4399999,0.9361703,-0.6666666,0.6976745,0.46153834,1.1818181,1.0952382,0.0,-1.1333334,0.9047619,-0.368421,-0.22727264,-0.49999997,-0.39393938,-0.31372556,-0.34482768,0.6923077,-0.7407407,-0.36,0.33333337,0.76190484,-0.48148152,0.95652163,-1.0384617,0.052631687,-1.0384614,-1.0370371,-1.1250001,0.77193,0.68965524,0.6875,0.37499982,1.5999999,1.3181816,-0.5,-0.6086957,-0.5,-0.4150943,-0.75000006,-0.6296296,-0.6428572,-0.3,-0.29268292,-0.2857143,-0.3,0.39999995,-0.16666666,-1.0,-0.78571427,-0.2857143,-0.68421054,0.13636364,1.1538463,-0.41176468,-1.5499998,0.0,-0.49999997,0.69565225,1.347826,-0.3333333,-0.074074,-0.96874994,-0.44444448,-0.72727275,0.0,0.0,0.09999996,-0.21874997,-0.15625004,-0.078947365,-0.15625004,-1.2857143,-0.76923084,-0.50000006,0.0,0.0,-0.3043478,0.46666664,0.49999994,0.20000005,0.043478217,-0.39999998,-0.16666667,-0.1875,0.0,-1
